x,l,abs_err_forward,rel_err_forward,abs_err_back,rel_err_back,rel_err_sph_forward,rel_err_sph_back
0.5,30,1.387778780781446e-17,9.261192901004311e-17,3.498434477589199e-03,2.334642739690389e-02,8.464389679877208e-17,2.334642739690395e-02
0.5,31,2.081668171172169e-17,1.922876848707084e-16,4.291820456814643e-02,3.964436940287823e-01,2.550646031442699e-16,3.964436940287823e-01
0.5,32,3.794707603699266e-18,9.830960041373384e-17,3.885849922160461e-02,1.006708271127202e+00,8.205204737246053e-17,1.006708271127202e+00
0.5,33,1.750986508564090e-17,1.224533026029513e-16,3.347918832682890e-03,2.341329964014580e-02,6.395035696475465e-17,2.341329964014577e-02
0.5,34,9.283481101907132e-18,8.976044799497867e-17,4.101428691787734e-02,3.965603772476006e-01,8.483213700031599e-17,3.965603772476005e-01
0.5,35,1.121471622164694e-18,3.034357104577935e-17,3.717610452444426e-02,1.005870988215815e+00,7.281426065972922e-17,1.005870988215815e+00
0.5,36,1.543632843076237e-17,1.126756132660225e-16,3.215231430775971e-03,2.346919313616737e-02,2.418312643947850e-16,2.346919313616737e-02
0.5,37,2.013905535391824e-17,2.030424931706596e-16,3.934312730008960e-02,3.966584586891574e-01,1.541422313965002e-16,3.966584586891573e-01
0.5,38,1.014067844452848e-17,2.855610389491148e-16,3.569483449512237e-02,1.005164898907097e+00,2.812908885929931e-16,1.005164898907097e+00
0.5,39,1.070649645329436e-18,8.129500628578422e-18,3.097120752338313e-03,2.351660528049807e-02,1.567803129329261e-17,2.351660528049817e-02
0.5,40,6.091860956652928e-18,6.383628847643937e-17,3.786087037567839e-02,3.967420564041907e-01,1.076230815224346e-16,3.967420564041907e-01
0.5,41,8.399178704973642e-18,2.454359219945183e-16,3.437757122247421e-02,1.004561420264085e+00,4.069638919453780e-16,1.004561420264085e+00
0.5,42,5.326143172335041e-18,4.194758827231866e-17,2.991106658812725e-03,2.355732967415888e-02,6.311989254649777e-17,2.355732967415885e-02
0.5,43,1.262417904587809e-17,1.371159875548630e-16,3.653441917077810e-02,3.968141568762199e-01,2.853124469805699e-17,3.968141568762200e-01
0.5,44,2.446231151670419e-17,7.398794172037630e-16,3.319612835454318e-02,1.004039707515336e+00,7.183766538806319e-16,1.004039707515336e+00
0.5,45,2.078957665740955e-17,1.694085743364647e-16,2.895260705268098e-03,2.359268764797307e-02,3.146031587477481e-16,2.359268764797319e-02
0.5,46,6.891460058860988e-18,7.739661054704001e-17,3.533826387052482e-02,3.968769785843600e-01,5.913838083521467e-17,3.968769785843599e-01
0.5,47,5.112690869626957e-18,1.597021136942399e-16,3.212866547951217e-02,1.003584202153735e+00,1.912256478447550e-16,1.003584202153735e+00
0.5,48,1.881768395620154e-17,1.583096955721693e-16,2.808058159121626e-03,2.362367405862333e-02,1.039889768259397e-16,2.362367405862340e-02
